variable,coef,t_nw,n_months,signal
const,0.07245387513805641,6.7469874497852524,179,techmom_bge
techmom_bge,0.030521702766732155,1.99930435600623,179,techmom_bge
ln_mcap,-0.002850752358780976,-7.081570059132893,179,techmom_bge
bm,0.002449963585308923,1.1731314141533216,179,techmom_bge
vol,-0.2593184383093408,-4.945568472710201,179,techmom_bge
to,0.5599788286656676,6.134153992772987,179,techmom_bge
rev,-0.03349959427242064,-5.101730834997611,179,techmom_bge
roe,0.0006140623463574645,0.3444545830258064,178,techmom_bge
const,0.07390592816140576,6.6971418681156205,179,techmom_cls
techmom_cls,0.026381628049662095,1.6285921968505754,179,techmom_cls
ln_mcap,-0.0029069899940216684,-7.196387657747459,179,techmom_cls
bm,0.0026690298766756325,1.2549437135790553,179,techmom_cls
vol,-0.2618487269651827,-4.95816428327063,179,techmom_cls
to,0.5680793045568622,6.226476946895435,179,techmom_cls
rev,-0.033011901113756265,-5.023218949260834,179,techmom_cls
roe,0.0006543840958132366,0.3709265043127852,178,techmom_cls
