variable,coef,t_nw,n_months,signal
const,-0.007603636852155505,-0.5878512810882784,167,techmom_bge
techmom_bge,-0.004478184024939193,-0.25089077150455774,167,techmom_bge
ln_mcap,0.0008653829729610824,1.6184175328222399,167,techmom_bge
bm,-0.0006544236303560132,-0.263866326264525,167,techmom_bge
vol,-0.00577826168656721,-0.3512353958862691,167,techmom_bge
to,-0.005609949867046404,-1.2673995473123465,167,techmom_bge
rev,-0.01866147200791572,-2.6126079964490505,167,techmom_bge
roe,0.00030967094791958886,0.18472767253807337,166,techmom_bge
const,-0.008491247530299482,-0.6370525892763143,167,techmom_cls
techmom_cls,-0.01586953761447379,-0.8525780516625805,167,techmom_cls
ln_mcap,0.0008862048967921805,1.6545328533501138,167,techmom_cls
bm,-0.00022557878959011957,-0.09027242381600341,167,techmom_cls
vol,-0.005702558841444666,-0.3487751941335047,167,techmom_cls
to,-0.00533055314472306,-1.2014042652493522,167,techmom_cls
rev,-0.017388734947686585,-2.42238704422057,167,techmom_cls
roe,0.000393429144551181,0.2366319944394361,166,techmom_cls
