variable,coef,t_nw,n_months,signal
const,0.015148890257452842,1.280306298539114,180,techmom_bge
techmom_bge,0.002387318989295119,0.14066459887349475,180,techmom_bge
ln_mcap,-5.0511869679210826e-05,-0.10690341026783129,180,techmom_bge
bm,-0.0016479978118400737,-0.7512060040171044,180,techmom_bge
vol,-0.17007231471160836,-2.770007838623653,180,techmom_bge
to,0.03040072892304639,1.5809683971007635,180,techmom_bge
rev,-0.027668711951027943,-4.280863390152441,180,techmom_bge
roe,0.000550291561738009,0.38396662804350284,179,techmom_bge
const,0.015494245442325477,1.3003835013400888,180,techmom_cls
techmom_cls,0.0084122767690909,0.44348596855143396,180,techmom_cls
ln_mcap,-6.481665985314768e-05,-0.13710874621362598,180,techmom_cls
bm,-0.0012844811677898617,-0.5800322663989671,180,techmom_cls
vol,-0.17284964393257718,-2.8221452739066053,180,techmom_cls
to,0.03168106336274171,1.60409895897474,180,techmom_cls
rev,-0.02725256405464069,-4.244424786554255,180,techmom_cls
roe,0.0006153134195214775,0.43518698814144935,179,techmom_cls
