variable,coef,t_nw,n_months,signal
const,0.07234250926106624,6.642993726805572,179,techmom_bge
techmom_bge,0.01871074154998366,1.3398948835052638,179,techmom_bge
ln_mcap,-0.002840047435809076,-7.156605387518803,179,techmom_bge
bm,0.002402086758479369,1.1455331418570014,179,techmom_bge
vol,-0.2617320220949793,-5.023923483452508,179,techmom_bge
to,0.5598258922579966,6.120893383217724,179,techmom_bge
rev,-0.033314354407279555,-5.0042264616140715,179,techmom_bge
roe,0.000573045553109672,0.32215270743948027,178,techmom_bge
const,0.07390592816140576,6.6971418681156205,179,techmom_cls
techmom_cls,0.026381628049662095,1.6285921968505754,179,techmom_cls
ln_mcap,-0.0029069899940216684,-7.196387657747459,179,techmom_cls
bm,0.0026690298766756325,1.2549437135790553,179,techmom_cls
vol,-0.2618487269651827,-4.95816428327063,179,techmom_cls
to,0.5680793045568622,6.226476946895435,179,techmom_cls
rev,-0.033011901113756265,-5.023218949260834,179,techmom_cls
roe,0.0006543840958132366,0.3709265043127852,178,techmom_cls
