variable,coef,t_nw,n_months,signal
const,0.01147621002051204,0.6621973166242243,185,techmom_bge
techmom_bge,0.18145597690925525,9.550471464195253,185,techmom_bge
ln_mcap,-0.0006479850295225659,-0.8040012340917883,185,techmom_bge
vol,0.19660577918774913,1.3611827954250113,185,techmom_bge
to,0.0007257528858604238,0.4783029460311202,185,techmom_bge
rev,0.13255664852422994,10.622923807690135,185,techmom_bge
const,0.016754200056453356,0.966321702485803,185,techmom_cls
techmom_cls,0.4288200508147643,12.29102908213348,185,techmom_cls
ln_mcap,-0.000830062084000896,-1.0280587947434041,185,techmom_cls
vol,0.14477361710096986,1.0414945070011912,185,techmom_cls
to,0.00027100841856657804,0.18540316244083693,185,techmom_cls
rev,0.0880923634553886,8.089685183268593,185,techmom_cls
