variable,coef,t_nw,n_months,signal
const,0.07378574051363156,6.816528998304339,180,techmom_bge
techmom_bge,0.008182878592408502,0.5036642704530702,180,techmom_bge
ln_mcap,-0.002850526116611793,-6.770341418936008,180,techmom_bge
bm,0.0008895478040871847,0.42650030154518537,180,techmom_bge
vol,-0.2996491397375077,-4.072487903719185,180,techmom_bge
to,0.556388982284106,6.449534818841062,180,techmom_bge
rev,-0.0232628439147916,-3.240233391542376,180,techmom_bge
roe,0.0006181226102177835,0.3678678153568265,179,techmom_bge
const,0.07445438519354268,6.681654683126737,180,techmom_cls
techmom_cls,-0.013698426991088584,-0.7728130885531462,180,techmom_cls
ln_mcap,-0.002891538093831496,-6.842779574296947,180,techmom_cls
bm,0.0011498002068987636,0.5399983514135904,180,techmom_cls
vol,-0.3048181912145561,-4.175817624154548,180,techmom_cls
to,0.5606547935846952,6.500148633223246,180,techmom_cls
rev,-0.022525393954207468,-3.1594271721294547,180,techmom_cls
roe,0.000662838601773247,0.4047219142285062,179,techmom_cls
