weighting,portfolio,mean_fwd_ret,t_nw,signal,clip
EW,Q1,0.01122420352768768,2.805695316435502,techmom_bge,0.1%
EW,Q2,0.01162067712861528,3.050122682206658,techmom_bge,0.1%
EW,Q3,0.012112797631576019,3.1232360729754274,techmom_bge,0.1%
EW,Q4,0.010752371258922843,2.6294579407011307,techmom_bge,0.1%
EW,Q5,0.009726968890069543,2.4493490545164,techmom_bge,0.1%
EW,Q5-Q1,-0.0014972346376181346,-0.8803985452163807,techmom_bge,0.1%
VW,Q1,0.011625935577901945,3.8504133933868046,techmom_bge,0.1%
VW,Q2,0.011663295241959692,3.8167384587211046,techmom_bge,0.1%
VW,Q3,0.01218365512056239,3.923117242362165,techmom_bge,0.1%
VW,Q4,0.01058501953202485,3.4972898526454808,techmom_bge,0.1%
VW,Q5,0.010180867167758994,3.548512503514945,techmom_bge,0.1%
VW,Q5-Q1,-0.0014450684101429533,-0.5473176284490843,techmom_bge,0.1%
EW,Q1,0.011380587616947211,2.8414515832806266,techmom_bge,raw
EW,Q2,0.011721655641814268,3.071040983811481,techmom_bge,raw
EW,Q3,0.012306340132978285,3.1643582865150237,techmom_bge,raw
EW,Q4,0.010831299706034919,2.6497827849394984,techmom_bge,raw
EW,Q5,0.009906291260435417,2.4950887034725766,techmom_bge,raw
EW,Q5-Q1,-0.0014742963565117925,-0.8594610260529987,techmom_bge,raw
VW,Q1,0.01146531202942023,3.7156948960686296,techmom_bge,raw
VW,Q2,0.01166313186016649,3.8175815638640644,techmom_bge,raw
VW,Q3,0.012189709793290903,3.924347163490604,techmom_bge,raw
VW,Q4,0.010591608801367914,3.50020768557229,techmom_bge,raw
VW,Q5,0.011472386663563086,3.60353264733924,techmom_bge,raw
VW,Q5-Q1,7.074634142855553e-06,0.0019153965653685588,techmom_bge,raw
