weighting,portfolio,mean_fwd_ret,t_nw,signal
EW,Q1,0.005200812923374626,1.2236134946944095,techmom_bge
EW,Q2,0.008801193744790367,2.2599763048268815,techmom_bge
EW,Q3,0.008326709405877143,2.1424881298276417,techmom_bge
EW,Q4,0.007049739150175254,1.8248890680269616,techmom_bge
EW,Q5,0.006089223752122275,1.5069768793629457,techmom_bge
EW,Q5-Q1,0.000888410828747649,0.6523578779161318,techmom_bge
VW,Q1,-0.017645496486347025,-2.1967873851757393,techmom_bge
VW,Q2,-0.0026064748547238413,-0.46012403531939655,techmom_bge
VW,Q3,-0.0002605854455997235,-0.05418488045463808,techmom_bge
VW,Q4,0.0015890391404519073,0.2844965677066356,techmom_bge
VW,Q5,-0.0070872814195543496,-0.7750497690689416,techmom_bge
VW,Q5-Q1,0.010558215066792668,1.0520481243162962,techmom_bge
EW,Q1,0.004973924158514206,1.2105214459671514,techmom_cls
EW,Q2,0.008164231778768672,2.189720480962042,techmom_cls
EW,Q3,0.008419665339960013,2.172182235452108,techmom_cls
EW,Q4,0.007148014543047518,1.7296462232197691,techmom_cls
EW,Q5,0.006763413873569906,1.6367930863492282,techmom_cls
EW,Q5-Q1,0.0017894897150556991,1.323151694883064,techmom_cls
VW,Q1,-0.016756387657838566,-2.1756672960552845,techmom_cls
VW,Q2,-0.0012633301483308645,-0.22484584224364762,techmom_cls
VW,Q3,0.003186382546549819,0.5734565865632734,techmom_cls
VW,Q4,-0.008182968157339302,-1.1627672796131723,techmom_cls
VW,Q5,-0.00755747218278153,-1.0770089950516821,techmom_cls
VW,Q5-Q1,0.009198915475057034,1.0778866467015273,techmom_cls
