norm_name,patents,example_name
samsung electronics,163099,"SAMSUNG ELECTRONICS CO., LTD."
canon kabushiki kaisha,88520,Canon Kabushiki Kaisha
fujitsu limited,55479,FUJITSU LIMITED
kabushiki kaisha toshiba,51993,KABUSHIKI KAISHA TOSHIBA
lg electronics,47309,LG ELECTRONICS INC.
mitsubishi electric,41815,Mitsubishi Electric Corporation
qualcomm,38198,QUALCOMM Incorporated
sumitomo electric industries,35087,"Sumitomo Electric Industries, Ltd."
nec,34729,NEC CORPORATION
toyota jidosha kabushiki kaisha,33109,TOYOTA JIDOSHA KABUSHIKI KAISHA
seiko epson,32619,Seiko Epson Corporation
google,30764,GOOGLE TECHNOLOGY HOLDINGS LLC
siemens aktiengesellschaft,30420,SIEMENS AKTIENGESELLSCHAFT
ricoh,28231,"Ricoh Company, Ltd."
robert bosch,27615,Robert Bosch GmbH
hewlett packard development l p,27147,"Hewlett-Packard Development Company, L.P."
sharp kabushiki kaisha,25514,SHARP KABUSHIKI KAISHA
ford global,25009,"Ford Global Technologies, LLC"
huawei,24384,"Huawei Technologies Co., Ltd."
telefonaktiebolaget lm ericsson publ,24263,Telefonaktiebolaget LM Ericsson (Publ)
microsoft licensing,23062,"MICROSOFT TECHNOLOGY LICENSING, LLC"
the boeing,21649,THE BOEING COMPANY
amazon,20996,"Amazon Technologies, Inc."
motorola,20262,"Motorola, Inc."
cisco,19465,"Cisco Technology, Inc."
gm global operations,18721,GM GLOBAL TECHNOLOGY OPERATIONS LLC
basf,18290,BASF SE
denso,18083,DENSO CORPORATION
brother kogyo kabushiki kaisha,17331,BROTHER KOGYO KABUSHIKI KAISHA
hyundai motor,16836,HYUNDAI MOTOR COMPANY
the procter and gamble,16810,The Procter & Gamble Company
panasonic,16610,PANASONIC HOLDINGS CORPORATION
semiconductor energy laboratory,16419,"Semiconductor Energy Laboratory Co., Ltd."
e i du pont de nemours and,16166,E.I. DU PONT DE NEMOURS AND COMPANY
at and t intellectual property i l p,15962,"AT&T Intellectual Property I, L.P."
fujifilm,15233,FUJIFILM Corporation
the united states of america as represented by the secretary of the navy,14642,"The United States of America, as represented by the Secretary of the Navy"
u s philips,14114,U.S. Philips Corporation
bayer aktiengesellschaft,13975,BAYER AKTIENGESELLSCHAFT
3m innovative properties,13755,3M Innovative Properties Company
the regents of the university of california,13679,The Regents of the University of California
applied materials,12997,"Applied Materials, Inc."
murata manufacturing,12942,"MURATA MANUFACTURING CO., LTD."
nissan motor,12553,"Nissan Motor Co., Ltd."
korea advanced institute of science and,12506,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY
panasonic intellectual property management,12422,"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD."
boe,12196,"BOE Technology Group Co., Ltd."
fuji xerox,11690,"FUJI XEROX CO., LTD."
halliburton energy services,11232,"Halliburton Energy Services, Inc."
dell products l p,10791,Dell Products L.P.
stmicroelectronics s r l,10780,STMicroelectronics S.r.l.
united,10744,UNITED TECHNOLOGIES CORPORATION
koninklijke philips n v,10607,KONINKLIJKE PHILIPS N.V.
raytheon,10502,Raytheon Company
tokyo electron limited,10265,Tokyo Electron Limited
koninklijke philips electronics,10203,KONINKLIJKE PHILIPS ELECTRONICS NV
schlumberger,9811,SCHLUMBERGER TECHNOLOGY CORPORATION
hewlett packard l p,9761,"Hewlett-Packard Company, L.P."
monsanto,9611,Monsanto Technology LLC
industrial research institute,8897,Industrial Technology Research Institute
nikon,8801,NIKON CORPORATION
sanyo electric,8746,"SANYO Electric Co., Ltd."
westinghouse electric,8647,Westinghouse Electric Company LLC
winbond electronics,8645,Winbond Electronics Corp.
the united states of america as represented by the secretary of the army,8141,The United States of America as represented by the Secretary of the Army
yazaki,8082,YAZAKI CORPORATION
covidien,8004,COVIDIEN LP
lg chem,7986,"LG Chem, Ltd."
minnesota mining and manufacturing,7886,Minnesota Mining and Manufacturing Company
olympus,7875,OLYMPUS CORPORATION
commissariat a l energie atomique et aux energies alternatives,7749,COMMISSARIAT A L'ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES
sun microsystems,7670,Sun Microsystems Inc.
hong fu jin precision industry shenzhen,7664,"HONG FU JIN PRECISION INDUSTRY (ShenZhen) CO., LTD."
the dow chemical,7662,The Dow Chemical Company
shell oil compny,7660,SHELL OIL COMPNY
tdk,7546,TDK Corporation
ciba geigy,7431,Ciba-Geigy
renesas electronics,7399,RENESAS ELECTRONICS CORPORATION
massachusetts institute of,7374,Massachusetts Institute of Technology
facebook,7309,"FACEBOOK, INC."
emc ip,7238,EMC IP Holding Company LLC
corning,6991,CORNING INCORPORATED
the goodyear tire and rubber,6912,The Goodyear Tire & Rubber Company
hoechst,6703,Hoechst GmbH
sumitomo chemical limited,6659,Sumitomo Chemical Company Limited
hon hai precision industry,6562,"HON HAI PRECISION INDUSTRY CO., LTD."
nortel networks limited,6447,Nortel Networks Limited
verizon patent and licensing,6225,Verizon Patent and Licensing Inc.
pioneer hi bred,6025,"PIONEER HI-BRED INTERNATIONAL, INC."
rohm,6020,"ROHM CO., LTD."
mobil oil,6010,Mobil Oil Corporation
saudi arabian oil,5967,Saudi Arabian Oil Company
boston scientific scimed,5877,"Boston Scientific Scimed, Inc."
blackberry limited,5846,BlackBerry Limited
fanuc,5841,FANUC CORPORATION
kyocera document solutions,5839,KYOCERA DOCUMENT SOLUTIONS INC.
hon hai precision ind,5820,"Hon Hai Precision Ind. Co., Ltd."
whirlpool,5742,Whirlpool Corporation
olympus optical,5727,"Olympus Optical Co., Ltd."
freeescale semiconductor,5507,"Freeescale Semiconductor, Inc."
uop,5493,UOP LLC
bayerische motoren werke aktiengesellschaft,5491,Bayerische Motoren Werke Aktiengesellschaft
rolls royce,5447,Rolls-Royce Corporation
yamaha,5402,YAMAHA CORPORATION
rca,5382,RCA Corporation
japan display,5368,Japan Display Inc.
bank of america,5282,Bank of America Corporation
vmware,5276,VMware LLC
kimberly clark worldwide,5213,"Kimberly-Clark Worldwide, Inc."
capital one services,5209,"Capital One Services, LLC"
delphi,5171,Delphi Technologies
casio computer,5138,"CASIO COMPUTER CO., LTD."
phillips petroleum,5095,Phillips Petroleum Company
nokia oy,5030,NOKIA TECHNOLOGIES OY
emc,5022,EMC Corporation
aisin seiki kabushiki kaisha,5014,AISIN SEIKI KABUSHIKI KAISHA
alcatel lucent,5014,Alcatel Lucent
bridgestone,5012,BRIDGESTONE CORPORATION
lg innotek,5000,"LG INNOTEK CO., LTD."
black and decker,4992,"Black & Decker, Inc."
oki electric industry,4916,"Oki Electric Industry Co., Ltd."
xilinx,4914,"Xilinx, Inc."
hewlett packard enterprise development,4902,Hewlett Packard Enterprise Development LP
nxp b v,4855,NXP B.V.
l oreal,4835,L'OREAL
hoffmann la roche,4803,"Hoffmann-La Roche, Inc."
national semiconductor,4786,NATIONAL SEMICONDUCTOR CORPORATION
zte,4780,ZTE CORPORATION
konica minolta,4767,"KONICA MINOLTA, INC."
ngk insulators,4736,"NGK INSULATORS, LTD."
united states of america as represented by the secretary of the air force,4718,United States of America as represented by the Secretary of the Air Force
silverbrook research pty,4673,Silverbrook Research Pty Ltd
mediatek,4667,MEDIATEK INC.
fuji electric,4607,"FUJI ELECTRIC CO., LTD."
juniper networks,4568,"Juniper Networks, Inc."
asml netherlands b v,4566,ASML Netherlands B.V.
research in motion limited,4492,RESEARCH IN MOTION LIMITED
ncr,4478,NCR Corporation
au optronics,4448,Au Optronics Corporation
board of regents the university of texas system,4444,"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM"
mazda motor,4433,MAZDA MOTOR CORPORATION
ntt docomo,4418,"NTT DOCOMO, INC."
thomson licensing,4412,Thomson Licensing
hamilton sundstrand,4346,HAMILTON SUNDSTRAND CORPORATION
altera,4253,Altera Corporation
exxon research and engineering,4241,Exxon Research and Engineering Company
sumitomo rubber industries,4223,"SUMITOMO RUBBER INDUSTRIES, LTD."
hughes aircraft,4197,Hughes Aircraft Company
california institute of,4186,California Institute of Technology
dow global,4168,Dow Global Technologies LLC
tencent shenzhen limited,4157,TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED
yamaha hatsudoki kabushiki kaisha,4095,YAMAHA HATSUDOKI KABUSHIKI KAISHA
igt,4090,IGT
alps electric,4078,"ALPS ELECTRIC CO., LTD."
cardiac pacemakers,4057,"CARDIAC PACEMAKERS, INC."
united states department of energy,4016,UNITED STATES DEPARTMENT OF ENERGY
merck patent,3981,Merck Patent GmbH
the board of trustees of the leland stanford junior university,3946,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY
sumitomo wiring systems,3915,"Sumitomo Wiring Systems, Ltd."
wisconsin alumni research foundation,3888,Wisconsin Alumni Research Foundation
sprint communications l p,3870,"SPRINT COMMUNICATIONS COMPANY, L.P."
omron,3860,OMRON Corporation
renesas,3858,Renesas Technology Corporation
guangdong oppo mobile telecommunications,3843,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP., LTD."
carrier,3832,Carrier Corporation
imperial chemical industries limited,3811,IMPERIAL CHEMICAL INDUSTRIES LIMITED
adobe systems,3800,Adobe Systems Incorporated
toyota motor engineering and manufacturing north america,3799,"Toyota Motor Engineering & Manufacturing North America, Inc."
the united states of america as represented by the administrator of the national aeronautics and space administration,3783,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration
nitto denko,3781,NITTO DENKO CORPORATION
lsi logic,3724,LSI Logic Corporation
dr ing h c f porsche,3722,Dr. Ing. h. c. F. Porsche AG
daimlerchrysler,3672,Daimlerchrysler AG
honeywell limited,3660,Honeywell Limited
fraunhofer gesellschaft zur f rderung der angewandten forschung e v,3641,FRAUNHOFER GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V.
american cyanamid,3619,American Cyanamid Company
harris,3611,HARRIS CORPORATION
ethicon,3584,"Ethicon, Inc."
rockwell,3543,Rockwell International Corporation
kao,3489,KAO CORPORATION
macronix,3478,"MACRONIX International Co., Ltd."
cypress semiconductor,3450,Cypress Semiconductor Corporation
panasonic intellectual property of america,3404,Panasonic Intellectual Property Corporation of America
semiconductor components industries,3327,"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC"
arm limited,3308,Arm Limited
red hat,3308,"Red Hat, Inc."
zf friedrichshafen,3284,ZF FRIEDRICHSHAFEN AG
kohler,3277,KOHLER CO.
exxonmobil chemical patents,3268,ExxonMobil Chemical Patents Inc.
shimadzu,3266,SHIMADZU CORPORATION
toray industries,3260,"Toray Industries, Inc."
airbus operations limited,3252,AIRBUS OPERATIONS LIMITED
nichia,3241,NICHIA CORPORATION
at and t bell laboratories,3241,AT&T Bell Laboratories
schaeffler and kg,3235,Schaeffler Technologies AG & Co. KG
shimano,3224,SHIMANO INC.
nippon steel,3209,NIPPON STEEL CORPORATION
schering,3206,SCHERING CORPORATION
delta electronics,3173,"Delta Electronics, Inc."
texaco,3164,Texaco Inc.
